tick,agent_1,agent_2,agent_3,agent_4
517,0.585,0.9983,1.0576,0.0703
518,0.5201,0.8715,0.975,0.0367
519,0.485,0.7478,0.6838,0.1274
520,0.4718,0.7446,1.113,0.4823
521,0.5578,0.7408,0.9473,0.5263
522,0.5286,0.7474,1.113,0.4154
523,0.438,0.7626,1.11,0.4679
524,0.5196,0.7723,0.6672,0.483
525,0.5526,0.7824,0.1858,0.475
526,0.3011,0.6704,0.1342,0.4749
527,0.2991,0.6155,0.1492,0.5123
528,0.3273,0.6361,0.0158,0.4719
529,0.3112,0.3622,0.0055,0.43
530,0.3687,0.3613,0.0429,0.4238
531,0.447,0.4742,0.5534,0.4195
532,0.3592,0.612,,0.4395
533,0.3011,0.5822,,0.3409
534,0.3405,0.4247,,0.4725
535,0.3274,0.4541,,0.4147
536,0.1433,0.3483,,0.4664
537,0.5069,0.4651,,0.4786
538,0.5118,0.7636,0.0235,0.1056
539,0.6192,0.643,0.4235,0.0415
540,0.5984,0.7717,1.1197,0.0389
541,0.6961,0.7946,1.2023,0.0233
542,0.6997,0.7855,1.2023,0.0988
543,0.6903,0.6516,0.6011,0.0718
544,0.6953,0.6905,1.1532,0.0526
545,0.5665,0.8219,1.153,0.1455
546,0.2547,0.8549,1.1532,0.1312
547,0.0166,0.7729,1.1532,0.0213
548,0.0108,0.4539,1.1532,0.0103
549,0.0266,0.412,0.7689,0.4117
550,0.0406,0.2724,1.1398,0.4837
551,0.3157,0.2775,1.1398,0.5272
552,0.5428,0.3088,1.1083,0.4229
553,0.5676,0.3,0.9566,0.4072
554,0.4118,0.3128,1.1328,0.4332
555,0.6718,0.2724,1.0105,0.4258
556,0.6659,0.2794,1.1277,0.0169
557,0.6218,0.2889,0.9745,0.3668
558,0.6846,0.2361,1.1321,0.3592
559,0.556,0.3523,1.1398,0.3516
560,0.4421,0.2526,1.1398,0.3662
561,0.6825,0.5677,1.1398,0.3596
562,0.7012,0.5493,1.1398,0.357
563,0.7072,0.5473,1.1398,0.3682
564,0.6796,0.5684,0.856,0.3587
565,0.6962,0.5608,1.0261,0.3805
566,0.5553,0.2855,1.1082,0.4076
567,0.402,0.1824,1.1113,0.3832
568,0.4874,0.2803,1.1113,0.3784
569,0.5772,0.2557,1.115,0.3797
570,0.5605,0.2971,1.115,0.3505
571,0.5726,0.2714,1.115,0.3596
572,0.5636,0.2428,1.115,0.7667
573,0.5862,0.4923,1.115,0.6476
574,0.5936,0.4781,1.1062,0.4603
575,0.6019,0.5017,0.5276,0.3442
576,0.3456,0.48,0.4834,0.2216
577,0.5172,0.5118,1.1596,0.3679
578,0.7719,0.6122,1.1596,0.3951
579,0.7824,0.5853,0.7732,0.3861
580,0.7272,0.5006,1.1411,0.349
581,0.6233,0.4949,1.1411,0.3521
582,0.7398,0.746,1.1411,0.4427
583,0.6134,0.7638,1.1532,0.0953
584,0.6904,0.7629,0.7688,0.0814
585,0.628,0.5962,1.1398,0.0508
586,0.549,0.6269,1.1398,0.0895
587,0.7697,0.6449,1.1309,0.0917
588,0.5259,0.6416,1.1398,0.0846
589,0.504,0.5942,1.1085,0.0699
590,0.5465,0.6154,1.1085,0.0188
591,0.381,0.5272,0.7401,0.0119
592,0.4389,0.6919,1.1245,0.0202
593,0.2873,0.688,0.8751,0.0115
594,0.5609,0.69,1.1415,0.4218
595,0.5582,0.6884,1.1358,0.3661
596,0.5642,0.726,1.1414,0.3418
597,0.5943,0.4993,1.1415,0.3608
598,0.2986,0.498,1.1415,0.419
599,0.7006,0.9687,1.154,0.3369
600,0.7625,0.0,1.154,0.3813
601,0.623,0.4857,1.1302,0.4089
602,0.8091,1.0055,1.154,0.3249
603,0.7877,1.0055,1.0865,0.2152
604,0.7004,1.0055,0.5522,0.046
605,0.6833,1.0055,0.5068,0.0674
606,0.6115,1.0055,0.759,0.0917
607,0.59,0.6703,0.6658,0.102
608,0.605,1.0296,0.7602,0.0435
609,0.6418,1.0296,0.6836,0.0583
610,0.3501,0.7685,0.763,0.0354
611,0.0319,0.9011,0.7621,0.0624
612,0.0676,0.9862,0.7726,0.0905
613,0.0195,0.9806,0.6423,0.1395
614,0.0441,0.8532,0.6433,0.0585
615,0.0418,0.7746,0.6405,0.0598
616,0.0813,0.7613,0.4523,0.1027
617,0.0716,0.773,0.0739,0.1376
618,0.1138,0.7743,0.028,0.0329
619,0.0828,0.7725,0.0435,0.0416
620,0.0282,0.7598,0.0711,0.0396
621,0.2987,0.766,0.0934,0.0505
622,0.3198,0.6386,0.0775,0.0415
623,0.3006,0.4269,0.059,0.0464
624,0.2859,0.6456,0.4625,0.0453
625,0.4163,0.767,0.4248,0.1258
626,0.4491,0.5628,0.3598,0.0705
627,0.4039,0.8083,0.5156,0.0581
628,0.341,0.8855,0.7805,0.0934
629,0.2427,0.9147,0.764,0.1237
630,0.2504,0.919,0.7625,0.1015
631,0.2674,0.8766,0.6655,0.0468
632,0.2831,0.8847,0.5871,0.1342
633,0.267,0.8842,0.5314,0.1051
634,0.2341,0.8799,0.5461,0.0293
635,0.2617,0.8792,0.6233,0.081
636,0.1885,0.8767,0.6608,0.0443
637,0.419,1.2992,0.7812,0.1383
638,0.4729,0.9357,0.2885,0.1022
639,0.4281,1.3049,0.1157,0.0492
640,0.4468,1.3049,0.0325,0.0557
641,0.3235,0.87,0.0175,0.1139
642,0.2814,1.2016,0.4489,0.0928
643,0.3158,0.9569,0.4242,0.0708
644,0.3759,0.8111,0.4051,0.093
645,0.2767,1.0852,0.4405,0.0991
646,0.2975,1.2026,0.4911,0.4721
647,0.3017,0.717,0.3078,0.4974
648,0.2456,0.7062,0.2853,0.3649
649,0.2783,0.9712,0.4122,0.3492
650,0.2694,0.9714,0.402,0.4422
651,0.2498,0.9714,0.4122,0.4576
652,0.4275,0.4858,0.401,0.4453
653,0.4114,1.0733,0.4404,0.4871
654,0.4352,1.0733,0.0709,0.4943
655,0.3688,0.7249,0.0515,0.4861
656,0.4825,0.7975,0.0553,0.5502
657,0.4428,0.7013,0.0965,0.6274
658,0.5373,1.1992,0.1662,0.6939
659,0.4972,1.1993,0.0585,0.6988
660,0.5734,1.1993,0.0469,0.6265
661,0.5106,1.1993,0.0207,0.0159
662,0.4714,1.1993,0.0227,0.1478
663,0.4726,1.1993,0.0381,0.1393
664,0.4287,1.1993,0.2917,0.1645
665,0.6505,1.1993,0.5774,0.0807
666,0.6501,1.1947,0.5865,0.1465
667,0.5992,1.155,0.5817,0.0184
