tick,agent_1,agent_2,agent_3,agent_4
569,0.7976,0.9125,0.6465,0.7155
570,0.7455,0.8647,0.973,0.9265
571,0.6458,1.0058,0.9241,0.9516
572,0.722,1.0291,1.0107,0.8625
573,1.0708,1.0401,1.1191,1.0831
574,1.2353,1.0368,1.0333,1.047
575,1.1931,1.065,1.0851,1.1855
576,1.2268,1.0298,0.9663,1.1128
577,1.1483,0.8041,0.9945,1.1411
578,0.7272,1.1049,0.9385,0.8827
579,1.1626,0.8874,0.8972,1.1653
580,1.159,1.0425,0.8574,1.1653
581,0.8941,0.932,1.0153,1.1653
582,1.1588,1.1079,0.9915,1.1653
583,0.9787,1.011,0.9008,0.8332
584,1.0296,0.6249,1.0204,1.1059
585,1.195,0.629,0.8842,0.8983
586,0.9919,0.7222,0.9982,1.1904
587,1.1314,1.0406,1.1673,0.9932
588,1.2103,1.0311,1.1673,1.0738
589,1.2195,0.8862,1.1778,1.0618
590,1.2199,1.0331,1.1879,0.9362
591,1.1995,0.9748,1.1673,1.0065
592,1.0866,0.8547,1.0869,0.9358
593,1.0446,1.1887,1.1873,0.7761
594,1.1873,1.0406,1.0518,0.7445
595,0.9882,1.1033,0.85,0.8432
596,1.1896,0.9029,0.8443,0.9819
597,1.076,1.0427,1.1211,1.0192
598,0.954,1.0488,1.1516,1.0009
599,1.0781,1.0298,0.9955,0.9802
600,1.1004,1.0153,0.961,0.8199
601,1.2358,0.9573,1.1249,1.0611
602,1.2057,1.07,1.1253,1.0637
603,1.2057,0.9098,0.9005,0.9205
604,1.2057,1.0824,1.0358,0.9322
605,0.6141,1.0678,1.0384,0.9709
606,1.2282,1.0194,0.9092,0.6378
607,1.2443,1.0716,0.9414,1.2079
608,1.1682,1.0479,0.9746,1.1063
609,1.1329,1.0483,1.1598,0.9694
610,0.9145,0.8506,1.2105,0.9439
611,0.949,1.1638,1.2105,0.9667
612,0.8701,1.1169,1.2133,1.1734
613,1.024,0.8098,1.2039,1.1418
614,1.0227,1.1781,0.652,0.9185
615,0.8367,1.0661,1.3162,0.7269
616,0.963,0.9518,0.8775,1.0242
617,1.1823,0.7964,1.2497,1.1658
618,1.0254,0.8798,1.2497,1.1658
619,0.6525,1.0727,0.8768,1.1528
620,0.7323,1.1098,0.5029,1.1513
621,1.166,0.9711,0.9943,1.1527
622,0.5856,0.9711,0.8141,0.965
623,1.3,1.1082,1.0302,1.0932
624,1.3,1.0691,1.0531,1.1089
625,0.8668,0.9841,1.1263,1.1669
626,0.9609,1.0476,1.1416,1.0323
627,0.6885,1.0788,1.0933,1.2073
628,1.1703,0.853,1.1494,1.0583
629,0.9032,1.0199,1.063,0.9415
630,1.1454,1.0207,0.9691,1.0965
631,0.9381,1.0242,0.946,1.0063
632,0.9744,0.996,0.8014,0.9323
633,1.019,0.804,0.4399,0.8785
634,1.1066,0.974,0.6178,0.8605
635,1.2597,0.9207,1.0711,0.9748
636,1.1567,0.8416,1.1647,0.9607
637,1.1495,0.6638,1.1451,0.6623
638,1.2479,0.5465,0.8504,0.9365
639,1.1077,0.6212,0.917,0.7546
640,1.0358,0.7683,0.9756,0.9654
641,0.7516,0.762,0.9459,0.702
642,0.7434,0.6159,0.7409,0.6731
643,0.98,0.9357,1.079,0.893
644,0.8391,0.8526,1.0333,0.653
645,0.8085,0.8502,1.1096,1.0547
646,0.9284,0.9872,1.1663,0.9962
647,0.883,0.8276,1.0507,0.865
